,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
156,2° Tri. 2020,,Ceará,12.3,42.9,48.92,2448.32,2377.95,2299.92,2233.73
157,2° Tri. 2020,Homem,Ceará,12.04,52.14,59.29,2654.74,2567.38,2512.02,2427.8
158,2° Tri. 2020,Mulher,Ceará,12.66,34.21,39.17,2146.06,2100.58,1989.34,1949.57
159,2° Tri. 2020,,Nordeste,16.51,40.25,48.21,2349.91,2270.8,2150.93,2080.64
160,2° Tri. 2020,Homem,Nordeste,15.51,49.9,59.06,2470.72,2392.85,2249.69,2181.82
161,2° Tri. 2020,Mulher,Nordeste,17.96,31.3,38.16,2167.29,2086.26,2001.62,1927.66
162,3° Tri. 2020,,Brasil,14.87,48.86,57.39,3441.62,3343.76,3271.41,3186.81
163,3° Tri. 2020,Homem,Brasil,12.9,59.51,68.32,3729.93,3631.48,3539.6,3456.35
164,3° Tri. 2020,Mulher,Brasil,17.52,38.92,47.19,3022.52,2925.52,2881.55,2794.97
165,3° Tri. 2020,,Ceará,14.23,42.05,49.02,2228.74,2163.8,2092.15,2031.99
166,3° Tri. 2020,Homem,Ceará,12.53,52.06,59.52,2290.08,2214.91,2142.87,2069.73
167,3° Tri. 2020,Mulher,Ceará,16.57,32.91,39.44,2137.53,2087.78,2016.75,1975.87
168,3° Tri. 2020,,Nordeste,18.29,40.11,49.08,2286.27,2200.77,2158.45,2082.02
169,3° Tri. 2020,Homem,Nordeste,16.07,50.55,60.23,2395.55,2319.16,2250.49,2180.02
170,3° Tri. 2020,Mulher,Nordeste,21.45,30.53,38.87,2116.19,2016.5,2015.2,1929.48
171,4° Tri. 2020,,Brasil,14.16,50.97,59.38,3303.84,3214.92,3313.39,3227.34
172,4° Tri. 2020,Homem,Brasil,11.88,61.56,69.86,3590.4,3501.29,3586.41,3501.69
173,4° Tri. 2020,Mulher,Brasil,17.16,41.09,49.6,2896.09,2807.39,2924.93,2836.93
174,4° Tri. 2020,,Ceará,14.44,44.42,51.92,2232.33,2195.8,2196.41,2162.38
175,4° Tri. 2020,Homem,Ceará,11.31,55.65,62.75,2331.82,2297.4,2291.91,2259.77
176,4° Tri. 2020,Mulher,Ceará,18.63,34.3,42.15,2083.22,2043.57,2053.29,2016.45
177,4° Tri. 2020,,Nordeste,17.54,43.15,52.34,2203.18,2137.52,2210.14,2144.38
178,4° Tri. 2020,Homem,Nordeste,14.84,54.04,63.46,2321.45,2257.83,2329.11,2266.53
179,4° Tri. 2020,Mulher,Nordeste,21.25,33.22,42.19,2023.08,1954.31,2028.97,1958.35
180,1° Tri. 2021,,Brasil,14.91,50.76,59.66,3275.23,3177.19,3483.14,3379.96
181,1° Tri. 2021,Homem,Brasil,12.14,61.6,70.11,3568.67,3465.39,3757.11,3655.48
182,1° Tri. 2021,Mulher,Brasil,18.54,40.66,49.91,2852.71,2762.22,3088.64,2983.24
183,1° Tri. 2021,,Ceará,15.14,42.22,49.75,2245.16,2190.06,2265.75,2214.23
184,1° Tri. 2021,Homem,Ceará,11.26,54.77,61.72,2394.52,2331.01,2405.71,2347.51
185,1° Tri. 2021,Mulher,Ceará,20.79,30.73,38.8,1994.26,1953.42,2030.65,1990.46
186,1° Tri. 2021,,Nordeste,18.93,42.67,52.63,2160.65,2094.21,2247.12,2180.72
187,1° Tri. 2021,Homem,Nordeste,15.27,54.08,63.83,2259.26,2195.1,2336.22,2275.07
188,1° Tri. 2021,Mulher,Nordeste,24.01,32.15,42.31,2003.18,1933.13,2104.84,2030.08
189,2° Tri. 2021,,Brasil,14.24,52.0,60.63,3182.54,3078.02,3180.34,3078.28
190,2° Tri. 2021,Homem,Brasil,11.59,62.85,71.09,3467.47,3358.94,3474.11,3369.28
191,2° Tri. 2021,Mulher,Brasil,17.7,41.88,50.88,2775.91,2677.11,2761.11,2662.98
192,2° Tri. 2021,,Ceará,15.1,43.9,51.71,2125.97,2073.83,2040.89,1985.39
193,2° Tri. 2021,Homem,Ceará,11.42,55.84,63.04,2282.7,2223.85,2181.23,2120.49
